link,Running Time,Keywords,Source,Genre,Production Method,Creative Type,Production/Financing Companies,Production Countries,Languages,Release Date
https://www.the-numbers.com/movie/Avengers-Infinity-War-(2017)#tab=summary,156 minutes,"Marvel Comics,Robot,End of the World,Hallucinations,Super Villains,Ensemble,Franchise Crossover,Set in Outer Space,Gods and Goddesses,Non-Chronological,Death of a Sibling,Motion Capture Performance,3-D,3-D - Post-production Conversion,IMAX: DMR,Filmed in Pinewood Atlanta Studios,Filmed in Georgia, United States,Filmed in Scotland,Filmed in United States,Filmed in United Kingdom,Filmed in Edinburgh, Scotland,Filmed in Glasgow, Scotland,Filmed in the Scottish Highlands,Filmed in Central Park, Atlanta, GA,Filmed in Queens, New York, NY,Filmed in New York, United States,Filmed in New York, NY,Filmed in Wardpark Studios, Lanarkshire, Scotland,Filmed in Lanarkshire, Scotland,Filmed in Banaue Rice Terraces, Ifugao, Philippines,Filmed in Ifugao, Philippines,Filmed in Philippines,Filmed in Fayette County, GA,Action Adventure,Sequels Shot Concurrently",Based on Comic/Graphic Novel,Action,Animation/Live Action,Super Hero,Marvel Studios,United States,English,25-Apr-18
https://www.the-numbers.com/movie/Black-Panther-(2018)#tab=summary,120 minutes,"Martial Arts,Marvel Comics,Royalty,Magical Technology,World War III,Civil War,Rebellion,Ensemble,Set in Africa,Fictional Country,Prologue,1990s,Intertitle,Undercover,Set in London,Set in England,Set in South Korea,Seoul,Non-Chronological,Dysfunctional Family,Scene in End Credits,2019 Oscars Best Picture Nominee,Motion Capture Performance,3-D,3-D - Post-production Conversion,IMAX: DMR,Filmed in EUE/Screen Gems Studios, Atlanta, GA,Filmed in Atlanta, GA,Filmed in Atlanta City Hall, Atlanta, GA,Filmed in High Museum of Art, Atlanta, GA,Filmed in Sweet Auburn, Atlanta, GA,Filmed in Busan, South Korea,Filmed in South Korea,Filmed in Jagalchi Fish Market, Busan, South Korea,Filmed in Gwangalli Beach, Busan, South Korea,Filmed in Marine City, Busan, South Korea,Filmed in Haeundae District, Busan, South Korea,Filmed in Gwangandaegyo Bridge, Busan, South Korea,Filmed in Rwenzori Mountains Uganda,Filmed in Bwindi Impenetrable National Park, Uganda,Filmed in Uganda,Filmed in South Africa,Filmed in Zambia,Filmed in Georgia, United States,Filmed in Fulton County, GA,Action Adventure,Writers Guild of America Best Original Screenplay Winner",Based on Comic/Graphic Novel,Action,Live Action,Super Hero,Marvel Studios,United States,English,13-Feb-18
https://www.the-numbers.com/movie/Incredibles-2#tab=summary,118 minutes,"Legacy Sequel,Super Villains,Family Movie,Prologue,Non-Chronological,Faulty Memory,Dysfunctional Family,Vigilante,Runaway,Surprise Twist,Adult Child Dealing with the Death of a Parent,Revenge,3-D,3-D - Shot in 3-D,IMAX: DMR,Filmed in Pixar Animation Studios, Emeryville, CA,Filmed in Emeryville, CA,Filmed in United States,Filmed in California, United States,Filmed in Alameda County, CA,Family Adventure",Original Screenplay,Adventure,Digital Animation,Super Hero,Disney-Pixar,United States,English,15-Jun-18
https://www.the-numbers.com/movie/Venom-(2018)#tab=summary,112 minutes,"Parasite,Investigative Journalist,Marvel Comics,Super Villains,Mad Scientist,Body Horror,Scene in End Credits,Set in San Francisco,Lawyers,Human Experimentation,Corporate Malfeasance,Voiceover/Narration,Development Hell,Fired,Relationships Gone Wrong,Intertitle,Motion Capture Performance,3-D,3-D - Post-production Conversion,IMAX: DMR",Spin-Off,Action,Animation/Live Action,Super Hero,"Columbia Pictures,Marvel Studios,Arad Productions,Matt Tolmach Productions,Pascal Pictures,Tencent Pictures",United States,English,02-Oct-18
https://www.the-numbers.com/movie/Ready-Player-One#tab=summary,140 minutes,"Near Future,Virtual Reality,Video Game,Environment,Government Corruption,Poverty,Treasure Hunters,Motion Capture Performance,3-D,3-D - Post-production Conversion,IMAX: DMR,Chase Adventure",Based on Fiction Book/Short Story,Adventure,Animation/Live Action,Science Fiction,"Warner Bros.,Village Roadshow Productions,Amblin Entertainment,De Line Pictures,Access Entertainment,Dune Entertainment",United States,English,20-Mar-18
https://www.the-numbers.com/movie/Crazy-Rich-Asians-(2018)#tab=summary,120 minutes,"Set in Singapore,Asian-Americans,Romance,You Can't Go Home Again,Dysfunctional Family,Cross-Class Romance,Culture Clash,IMAX: DMR,Romantic Comedy",Based on Fiction Book/Short Story,Romantic Comedy,Live Action,Contemporary Fiction,"Color Force,Ivanhoe Pictures,Warner Bros.,SK Global,Beijing Universe Starlight Culture Media Company,Electric Somewhere",United States,English,15-Aug-18
https://www.the-numbers.com/movie/Lion-King-The-(Live-Action)-(2019)#tab=summary,118 minutes,"Talking Animals,Animal Lead,Royalty,Accidental Death,Remake,Ensemble,Coming of Age,Revenge,Motion Capture Performance,3-D,IMAX: DMR,Family Adventure,Live Action Remake,Shor-for-Shot Remake",Original Screenplay,Adventure,Animation/Live Action,Kids Fiction,"Walt Disney Pictures,Fairview Entertainment",United States,English,11-Jul-19
https://www.the-numbers.com/movie/Joker-(2019)#tab=summary,122 minutes,"IMAX: DMR,Psychological Thriller,Origin Story,1980s,Mental Illness,Poverty,Social Outcast,D.C. Comics,2020 Oscars Best Picture Nominee,About a Stand Up Comedian",Based on Comic/Graphic Novel,Thriller/Suspense,Live Action,Contemporary Fiction,"Village Roadshow Productions,Bron Creative,Joint Effort,Warner Bros.,DC Films",United States,English,02-Oct-19
https://www.the-numbers.com/movie/Chong-Ai-(China)#tab=summary,107 minutes,"Romance,Romantic Comedy,Ensemble,Relationships Gone Wrong,Blindness,Animal Lead",Original Screenplay,Romantic Comedy,Live Action,Contemporary Fiction,,China,Mandarin,23-Dec-19
https://www.the-numbers.com/movie/One-Piece-Stampede-(2019-Japan)#tab=summary,101 minutes,"Heroic Adventure,Treasure Hunters,Pirates,On a Boat",Based on Comic/Graphic Novel,Adventure,Digital Animation,Fantasy,Toei Animation,Japan,Japanese,09-Aug-19
https://www.the-numbers.com/movie/Long-Shot-(2019)#tab=summary,125 minutes,"Childhood Friends,Romance,Political Campaign,Politicians,Romantic Comedy,Investigative Journalist",Original Screenplay,Romantic Comedy,Live Action,Contemporary Fiction,"Point Grey,Denver & Delilah Films,Good Universe,Lionsgate",United States,English,01-May-19
https://www.the-numbers.com/movie/Saaho-(India)#tab=summary,180 minutes,"Action Thriller,Undercover,Conspiracy Theory,Voiceover/Narration,Hackers",Original Screenplay,Action,Live Action,Contemporary Fiction,"UV Creations,T-Series",India,"Telugu,Tamil,Hindi,Malayalam",29-Aug-19
https://www.the-numbers.com/movie/Just-Mercy#tab=summary,136 minutes,"Wrongfully Convicted,Death Row,Lawyers,Civil Rights Movement,Prologue,Bigotry,1980s,Biography,Biographical Drama",Based on Factual Book/Article,Drama,Live Action,Dramatization,"Endeavor Content,One Community,Participant Media,Macro Media,Gil Netter Productions,Outlier Productions,Warner Bros.",United States,English,25-Dec-19
https://www.the-numbers.com/movie/Song-of-Youth-(China)-(2019)#tab=summary,111 minutes,"Historical Drama,1980s,Set in China,Inspirational Teacher",Original Screenplay,Drama,Live Action,Historical Fiction,,China,Mandarin,19-Mar-19
https://www.the-numbers.com/movie/Kholop-(2019-Russia)#tab=summary,109 minutes,"Farcical / Slapstick Comedy,Time Travel,Spoiled Child,Spoiled Heirs,Dysfunctional Family,Delayed Adulthood,1860s,Set in Russia",Original Screenplay,Comedy,Live Action,Contemporary Fiction,,Russian Federation,Russian,26-Dec-19
https://www.the-numbers.com/movie/Kingudamu-(Japan)-(2019)#tab=summary,134 minutes,"Action Adventure,War,Ancient China",Based on Comic/Graphic Novel,Drama,Live Action,Historical Fiction,Credeus,Japan,Japanese,19-Apr-19
